SET_SIZE, EXP_CONF, CONF, SUPPORT, LIFT, COUNT, RULE, _LHAND, _RHAND, ITEM1, ITEM2, ITEM3, ITEM4, ITEM5, index, Transpose
4,16.67,21.69,8.72,1.3,192, crew & Adult ==> Yes & Male, crew & Adult, Yes & Male, crew, Adult, =====>, Yes, Male,51,0
4,40.21,52.32,8.72,1.3,192, Yes & Male ==> crew & Adult, Yes & Male, crew & Adult, Yes, Male, =====>, crew, Adult,52,0
2,21.35,27.76,8.91,1.3,196, third ==> Female, third, Female, third, =====>, Female, , ,53,0
2,32.08,41.7,8.91,1.3,196, Female ==> third, Female, third, Female, =====>, third, , ,54,0
3,75.74,97.4,39.16,1.29,862, crew ==> Male & Adult, crew, Male & Adult, crew, =====>, Male, Adult, ,55,0
3,40.21,51.71,39.16,1.29,862, Male & Adult ==> crew, Male & Adult, crew, Male, Adult, =====>, crew, ,56,0
2,32.3,41.4,5.36,1.28,118, second ==> Yes, second, Yes, second, =====>, Yes, , ,57,1
2,12.95,16.6,5.36,1.28,118, Yes ==> second, Yes, second, Yes, =====>, second, , ,58,0
4,75.74,96.72,5.36,1.28,118, first & No ==> Male & Adult, first & No, Male & Adult, first, No, =====>, Male, Adult,59,0
3,8.13,10.34,7,1.27,154, No ==> second & Male, No, second & Male, No, =====>, second, Male, ,60,0
3,67.7,86.03,7,1.27,154, second & Male ==> No, second & Male, No, second, Male, =====>, No, ,61,1
3,30.58,38.71,30.44,1.27,670, Male ==> crew & No, Male, crew & No, Male, =====>, crew, No, ,62,0
3,78.65,99.55,30.44,1.27,670, crew & No ==> Male, crew & No, Male, crew, No, =====>, Male, ,63,0
4,30.58,38.71,30.44,1.27,670, Male ==> crew & No & Adult, Male, crew & No & Adult, Male, =====>, crew, No, Adult,64,0
4,78.65,99.55,30.44,1.27,670, crew & No & Adult ==> Male, crew & No & Adult, Male, crew, No, Adult, =====>, Male,65,0
4,60.38,75.71,30.44,1.25,670, crew ==> No & Male & Adult, crew, No & Male & Adult, crew, =====>, No, Male, Adult,66,0
4,40.21,50.41,30.44,1.25,670, No & Male & Adult ==> crew, No & Male & Adult, crew, No, Male, Adult, =====>, crew,67,0
2,78.65,97.4,39.16,1.24,862, crew ==> Male, crew, Male, crew, =====>, Male, , ,68,0
2,40.21,49.8,39.16,1.24,862, Male ==> crew, Male, crew, Male, =====>, crew, , ,69,0
3,40.21,49.8,39.16,1.24,862, Male ==> crew & Adult, Male, crew & Adult, Male, =====>, crew, Adult, ,70,0
3,78.65,97.4,39.16,1.24,862, crew & Adult ==> Male, crew & Adult, Male, crew, Adult, =====>, Male, ,71,0
4,20.99,25.97,17.58,1.24,387, No ==> third & Male & Adult, No, third & Male & Adult, No, =====>, third, Male, Adult,72,0
4,67.7,83.77,17.58,1.24,387, third & Male & Adult ==> No, third & Male & Adult, No, third, Male, Adult, =====>, No,73,1
3,28.49,35.11,7.5,1.23,165, Female ==> third & Adult, Female, third & Adult, Female, =====>, third, Adult, ,74,0
3,21.35,26.32,7.5,1.23,165, third & Adult ==> Female, third & Adult, Female, third, Adult, =====>, Female, ,75,0
3,78.65,96.72,5.36,1.23,118, first & No ==> Male, first & No, Male, first, No, =====>, Male, ,76,0
4,78.65,96.72,5.36,1.23,118, first & No & Adult ==> Male, first & No & Adult, Male, first, No, Adult, =====>, Male,77,0
3,23.17,28.32,19.17,1.22,422, No ==> third & Male, No, third & Male, No, =====>, third, Male, ,78,0
3,67.7,82.75,19.17,1.22,422, third & Male ==> No, third & Male, No, third, Male, =====>, No, ,79,1
3,61.97,75.71,30.44,1.22,670, crew ==> No & Male, crew, No & Male, crew, =====>, No, Male, ,80,0
3,40.21,49.12,30.44,1.22,670, No & Male ==> crew, No & Male, crew, No, Male, =====>, crew, ,81,0
4,61.97,75.71,30.44,1.22,670, crew & Adult ==> No & Male, crew & Adult, No & Male, crew, Adult, =====>, No, Male,82,0
4,40.21,49.12,30.44,1.22,670, No & Male ==> crew & Adult, No & Male, crew & Adult, No, Male, =====>, crew, Adult,83,0
4,75.74,92.22,7,1.22,154, second & No ==> Male & Adult, second & No, Male & Adult, second, No, =====>, Male, Adult,84,0
3,19.31,23.37,7.5,1.21,165, third ==> Female & Adult, third, Female & Adult, third, =====>, Female, Adult, ,85,0
3,32.08,38.82,7.5,1.21,165, Female & Adult ==> third, Female & Adult, third, Female, Adult, =====>, third, ,86,0
4,75.74,90.57,8.72,1.2,192, crew & Yes ==> Male & Adult, crew & Yes, Male & Adult, crew, Yes, =====>, Male, Adult,87,0
4,9.63,11.52,8.72,1.2,192, Male & Adult ==> crew & Yes, Male & Adult, crew & Yes, Male, Adult, =====>, crew, Yes,88,0
4,65.33,77.73,30.44,1.19,670, crew & Male ==> No & Adult, crew & Male, No & Adult, crew, Male, =====>, No, Adult,89,0
4,39.16,46.59,30.44,1.19,670, No & Adult ==> crew & Male, No & Adult, crew & Male, No, Adult, =====>, crew, Male,90,0
3,75.74,89.19,60.38,1.18,1329, No ==> Male & Adult, No, Male & Adult, No, =====>, Male, Adult, ,91,0
3,67.7,79.72,60.38,1.18,1329, Male & Adult ==> No, Male & Adult, No, Male, Adult, =====>, No, ,92,1
3,65.33,76.78,60.38,1.18,1329, Male ==> No & Adult, Male, No & Adult, Male, =====>, No, Adult, ,93,0
3,78.65,92.42,60.38,1.18,1329, No & Adult ==> Male, No & Adult, Male, No, Adult, =====>, Male, ,94,0
3,78.65,92.22,7,1.17,154, second & No ==> Male, second & No, Male, second, No, =====>, Male, ,95,0
4,78.65,92.22,7,1.17,154, second & No & Adult ==> Male, second & No & Adult, Male, second, No, Adult, =====>, Male,96,0
